"","kinds","efficiency","frequency","time"
"38","diancilu","1500","60","0.625"
"42","diancilu","1250","4","1.5"
"45","dianfanguo",NA,"30","0.625"
"77","dianfanguo","850","30","0.875"
"79","diancilu","1250","30","0.25"
"120","dianfanguo","300","60","0.625"
"127","diancilu","1500","12","0.25"
"149","dianshuihu","1500","8","0.25"
"150","diancilu",NA,"12","0.625"
"184","diancilu","1500","90","0.25"
"202","dianshuihu","1500","60","0.25"
"261","diancilu","1500","30","0.625"
"292","diancilu","1500","90","0.375"
"296","dianfanguo","600","12","0.375"
"304","dianfanguo","850","30","0.625"
"309","dianshuihu","300","30","0.25"
"345","diancilu","1500","20","0.625"
"357","dianfanguo","1500","90","0.625"
"374","diancilu","1250","90","0.875"
"377","diancilu","1250","60","0.625"
"385","diancilu","1250","30","0.375"
"407","dianfanguo","300","30","0.375"
"426","diancilu",NA,"30","0.875"
"440","diancilu","1500","30","0.625"
"451","diancilu","400","12","0.625"
"476","diancilu","1500","8","1.5"
"481","dianfanguo",NA,"30","0.625"
"497","diancilu",NA,"0",NA
"500","diancilu",NA,"20","0.25"
"501","dianfanguo","300","30","0.375"
"504","dianfanguo","1500","30","0.375"
"510","dianfanguo","400","60","0.375"
"521","diancilu","850","30","0.625"
"524","dianfanguo","1250","30","0.625"
"534","diancilu","1250","20","3"
"560","weibolu",NA,"8","0.25"
"602","dianshuihu","1250","90","0.25"
"616","dianshuihu","1250","90","0.25"
"659","dianfanguo","850","60","0.625"
"682","weibolu","1500","60","0.375"
"706","gaoyaguo",NA,"20","0.375"
"724","gaoyaguo",NA,"30","0.375"
"743","dianshuihu","400","90","1.5"
"752","dianshuihu","1500","20","0.25"
"836","diancilu","1500","90","0.625"
"837","diancilu","1250","90","0.875"
"839","dianfanguo","1250","60","0.875"
"845","diancilu","1250","90","0.625"
"848","diancilu",NA,"90","0.875"
"855","diancilu","1250","20","0.625"
"857","dianshuihu",NA,"60","0.625"
"888","diancilu","850","90","0.375"
"893","diancilu",NA,"60","0.625"
"904","diancilu",NA,"60","0.25"
"926","diancilu",NA,"60","0.625"
"932","diancilu",NA,"12","0.25"
"935","diancilu","1500","90","0.875"
"939","dianfanguo",NA,"60","0.875"
"944","diancilu",NA,"30","0.625"
"946","diancilu","1500","90","0.625"
"952","diancilu","1500","90","0.875"
"959","dianfanguo","300","90","0.625"
"970","diancilu","1250","30","0.375"
"983","diancilu","1500","90","0.375"
"1003","diancilu",NA,"90","0.375"
"1008","diancilu",NA,"90","0.375"
"1009","diancilu","1500","90","0.375"
"1015","diancilu","1250","90","0.375"
"1020","dianfanguo","850","60","0.625"
"1027","diancilu",NA,"90","0.375"
"1039","dianfanguo","850","30","0.375"
"1047","diancilu",NA,NA,"0.625"
"1048","dianfanguo",NA,"30","0.625"
"1056","diancilu","1500","60","0.625"
"1062","diancilu","1500","90","0.625"
"1066","dianfanguo","1250","4","0.625"
"1077","diancilu","1250","90","0.625"
"1101","diancilu","1500","90","0.625"
"1125","diancilu","1500","60","0.625"
"1133","diancilu","850","90","0.625"
"1158","diancilu","600","90","0.375"
"1159","diancilu","1500","90","0.875"
"1165","diancilu","850","90","0.625"
"1175","diancilu","1500","90","0.625"
"1181","diancilu","1500","90","0.625"
"1183","diancilu","1250","60","0.375"
"1198","diancilu","850","60","0.375"
"1200","diancilu","1500","90","0.875"
