VAR00001,a63,a7a,a11,a62,e90f,e10,e11,e8901,e8902,e8903,e8904,e8905,e8906,e8907,e8908,e8909,e8910,e89a,s1,s41,s42,s43,s44,s45
 ,2,6,103,50000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,5,12,90,80000, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,4,3,99,72000, ,5,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,19,32,59
 ,2,12,90,100000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,3,4,91,40000, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,1,3,60,48000, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,5,4,400,70000, ,-8,-8,0,0,0,0,1,0,0,0,0,0, ,1,4,7,20,35,63
 ,1,3,52,0, ,2,2,0,0,0,0,0,1,0,0,0,0, ,1,4,7,15,27,50
 ,4,3,40,40000, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,3,6,54,40000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,1,4,6,40000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,2,4,36.7999992370605,50000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,2,7,64,80000, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,3,7,63,70000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,2,7,75,150000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,5,4,15,-2, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,3,12,90,100000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,3,7,38,120000, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,2,4,48,50000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,36,65
 ,3,10,81.3000030517578,340000, ,5,7,0,0,1,0,0,1,0,0,0,0,电,1,4,7,16,29,53
 ,2,6,54,80000, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,2,6,62,48400, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,2,6,21,56000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,2,1,15,60000, ,6,9,0,0,0,0,1,0,0,0,0,1, ,2,4,7,22,38,69
 ,3,12,18,220000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,3,6,100,-2, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,2,4,71,31200, ,3,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,34,61
 ,4,9,59,180000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,3,4,82.9000015258789,40000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,3,7,60,50000, ,5,8,0,0,0,0,1,0,0,0,0,0, ,1,4,7,18,31,56
 ,5,10,130,-3, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,3,9,80,150000, , , , , , , , , , , , , , ,1,4,7,21,37,67
 ,3,9,90,100000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,3,4,42,80000, , , , , , , , , , , , , , ,1,4,7,18,31,57
