"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"1",4,"25000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"2",4,"16000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"3",4,"18000",8,NA,1,4,"11",5,1,"3"," ",NA,NA," "," ",NA,NA,NA
"4",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"5",4,"13333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"6",4,"48000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"7",4,"14000",7,NA,1,3,"11",-8,2,"3","12",-8,3,"5","13",-8,5,1
"8",4,"0",8,NA,1,2,"11",5,5,"1"," ",NA,NA," "," ",NA,NA,NA
"9",4,"10000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"10",4,"13333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"11",4,"40000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"12",4,"25000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"13",4,"40000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"14",4,"23333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"15",4,"75000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"16",4,"-0.4",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"17",4,"33333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"18",4,"40000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"19",4,"25000",8,NA,1,2,"11",3,6,"3","12",-8,6,"2","13",-8,3,1
"20",4,"113333.3333",8,NA,1,2,"16",-8,1,"1","13",5,1,"1"," ",NA,NA,NA
"21",4,"40000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"22",4,"24200",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"23",4,"28000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"24",4,"30000",7,NA,1,2,"11",4,1,"2"," ",NA,NA," "," ",NA,NA,NA
