"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"1",4,533,"diancilu",1250,4,1.5,"tianranqi",NA,90,0.375,"dianfanguo",850,90,0.375,"weibolu",1250,60,0.25
"2",4,548,"tianranqi",NA,30,0.375,"weibolu",600,30,0.25,"dianshuihu",300,60,0.25,"diancilu",1250,20,0.25
"3",4,576,"tianranqi",NA,90,0.625,"dianfanguo",400,20,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,576,"tianranqi",NA,90,0.625,"dianfanguo",850,30,0.625,"dianshuihu",600,90,0.25,"weibolu",600,60,0.25
"5",4,545,"meiqi",NA,90,0.625,"diancilu",300,60,0.375,"dianfanguo",300,20,0.875,NA,NA,NA,NA
"6",4,507,"tianranqi",NA,60,0.875,"dianfanguo",850,60,0.375,"weibolu",1250,60,0.25,NA,NA,NA,NA
"7",4,533,"tianranqi",NA,90,1.5,"diancilu",1500,4,1.5,"dianfanguo",1250,12,1.5,"dianfanguo",1500,4,0.625
"8",4,533,"meiqi",NA,60,1.5,"gaoyaguo",NA,60,0.625,"dianfanguo",NA,12,0.375,"dianshuihu",NA,12,0.25
"9",4,525,"tianranqi",NA,20,0.625,"dianfanguo",850,20,0.625,"dianshuihu",1500,60,0.25,"dianshuihu",1500,60,0.25
"10",4,575,"tianranqi",NA,30,0.625,"dianshuihu",400,60,0.25,"gaoyaguo",NA,30,0.375,"weibolu",400,30,0.375
"11",4,548,"tianranqi",NA,30,0.375,"dianfanguo",300,12,0.625,"gaoyaguo",400,30,0.625,"dianshuihu",400,90,0.25
"12",4,613,"tianranqi",NA,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4,591,"tianranqi",NA,90,0.375,"gaoyaguo",850,12,0.625,"weibolu",400,60,0.375,"dianfanguo",400,60,0.375
"14",4,548,"tianranqi",NA,60,0.375,"diancilu",850,30,0.375,"dianfanguo",850,12,0.375,"weibolu",850,8,0.375
"15",4,525,"yehuaqi",NA,90,0.375,"dianfanguo",300,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"16",4,562,"meiqi",NA,90,0.875,"dianfanguo",NA,90,0.625,"gaoyaguo",NA,20,1.5,"weibolu",NA,90,0.25
"17",4,548,"diancilu",1250,30,0.375,"meiqi",NA,30,0.375,"dianfanguo",600,30,0.625,NA,NA,NA,NA
"18",4,547,"tianranqi",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",4,548,"tianranqi",NA,30,0.875,"dianshuihu",1250,60,0.375,"gaoyaguo",NA,12,0.625,"weibolu",1250,8,0.375
"20",4,526,"tianranqi",NA,60,0.625,"dianfanguo",600,60,0.625,"dianshuihu",400,90,0.25,"weibolu",1250,12,0.25
"21",4,590,"tianranqi",NA,90,0.625,"dianfanguo",400,12,0.375,"gaoyaguo",NA,4,0.375,"weibolu",1250,4,0.25
"22",4,542,"dianfanguo",1500,30,0.375,"weibolu",400,60,0.25,"dianshuihu",400,90,0.25,"meiqi",NA,90,0.25
"23",4,562,"meiqi",NA,30,0.875,"dianfanguo",400,12,0.875,"kaoxiang",NA,4,0.875,"dianshuihu",400,4,0.25
"24",4,548,"diancilu",1250,20,3,"meiqi",NA,12,0.375,"dianfanguo",600,60,0.375,"gaoyaguo",300,30,0.375
"25",4,562,"tianranqi",NA,90,0.625,"dianfanguo",1500,8,0.375,"dianshuihu",1500,90,0.25,"diancilu",1500,4,0.375
"26",7,548,"tianranqi",NA,90,0.25,"dianfanguo",850,30,0.375,"weibolu",400,20,0.25,NA,NA,NA,NA
"27",7,547,"tianranqi",NA,90,0.375,"gaoyaguo",NA,8,0.375,"weibolu",NA,20,0.25,NA,NA,NA,NA
"28",7,639,"weibolu",1500,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",7,525,"tianranqi",NA,60,1.5,"dianfanguo",600,30,0.625,"weibolu",1250,60,0.25,NA,NA,NA,NA
"30",7,552,"tianranqi",NA,60,1.5,"dianfanguo",300,60,0.375,"weibolu",300,90,0.25,"dianshuihu",1250,90,6
"31",7,590,"tianranqi",NA,90,0.375,"dianshuihu",1250,60,0.375,"dianfanguo",1250,30,0.375,"weibolu",850,30,0.375
"32",7,526,"tianranqi",NA,90,0.875,NA,300,20,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"33",7,547,"tianranqi",NA,90,0.625,"dianfanguo",400,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"34",7,547,"tianranqi",NA,60,0.375,"dianfanguo",NA,20,0.25,"weibolu",NA,90,0.25,NA,NA,NA,NA
"35",17,525,"diancilu",1250,90,0.625,"yehuaqi",NA,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"36",17,547,"yehuaqi",NA,60,0.375,NA,850,30,1.5,NA,400,30,0.375,NA,NA,NA,NA
"37",17,575,"yehuaqi",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",17,525,"yehuaqi",NA,30,0.375,"dianfanguo",300,90,0.375,"gaoyaguo",NA,8,0.375,"dianshuihu",NA,12,0.25
"39",17,548,"diancilu",NA,60,0.25,"yehuaqi",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"40",17,603,"diancilu",NA,12,0.25,"weibolu",NA,12,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"41",17,521,"diancilu",1500,90,0.625,"yehuaqi",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"42",17,547,"tianranqi",NA,90,0.375,"diancilu",1250,20,0.375,"dianfanguo",1250,60,0.25,"weibolu",1500,20,0.25
"43",17,576,"tianranqi",NA,60,0.625,"diancilu",1500,30,0.25,"weibolu",1250,60,0.25,"kaoxiang",1500,12,0.25
"44",17,535,"xinchai",NA,90,0.375,"diancilu",NA,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"45",17,547,"tianranqi",NA,90,0.625,"dianfanguo",1500,20,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"46",17,544,"xinchai",NA,90,0.625,"diancilu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",17,575,"diancilu",NA,90,0.375,"yehuaqi",NA,90,0.375,"fengwomei",NA,90,0.625,NA,NA,NA,NA
"48",17,546,"xinchai",NA,60,0.375,"yehuaqi",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"49",17,586,"xinchai",NA,90,0.625,"yehuaqi",NA,90,0.375,"dianfanguo",NA,30,0.375,NA,NA,NA,NA
"50",17,525,"tianranqi",NA,90,0.375,"dianfanguo",850,60,0.25,"diancilu",1250,30,0.375,"weibolu",NA,20,0.25
"51",11,547,"tianranqi",NA,90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",11,547,"diancilu",1500,90,0.625,"yehuaqi",NA,30,0.625,"xinchai",NA,4,0.625,NA,NA,NA,NA
"53",11,526,"tianranqi",NA,30,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",11,547,"diancilu",NA,90,0.875,"dianfanguo",NA,90,0.625,"yehuaqi",NA,30,0.625,NA,NA,NA,NA
"55",11,526,"tianranqi",NA,60,0.375,"diancilu",1250,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"56",11,590,"diancilu",1500,60,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",11,590,"diancilu",1500,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",11,575,"diancilu",1500,90,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",3,525,"jiegan",NA,60,1.5,"dianfanguo",400,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"60",3,617,"jiegan",NA,60,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",3,547,"fengwomei",NA,20,0.875,"diancilu",850,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"62",3,602,"gaoyaguo",400,30,0.375,"xinchai",NA,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"63",3,513,"xinchai",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",3,526,"diancilu",400,30,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",27,590,"dianfanguo",850,60,0.625,"tianranqi",NA,60,0.375,"weibolu",1500,30,0.25,"dianshuihu",1500,60,0.25
"66",27,602,"yehuaqi",NA,90,0.875,"dianfanguo",600,60,0.375,"dianshuihu",850,90,0.25,NA,NA,NA,NA
"67",27,591,"diancilu",1500,20,0.625,"dianshuihu",1500,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"68",27,591,"dianfanguo",600,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",27,562,"tianranqi",NA,90,0.625,"diancilu",850,20,0.625,"dianfanguo",600,90,0.375,NA,NA,NA,NA
"70",27,526,"yehuaqi",NA,90,0.625,"dianfanguo",850,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"71",27,526,"dianshuihu",300,12,0.25,"dianfanguo",850,12,1.5,"kaoxiang",850,12,1.5,"meiqi",NA,12,0.375
"72",27,533,"tianranqi",NA,60,1.5,"dianfanguo",850,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"73",27,548,"meiqi",NA,90,0.375,"dianfanguo",1500,60,0.625,"weibolu",1500,90,0.25,"gaoyaguo",1500,12,1.5
"74",27,510,"xinchai",NA,90,0.625,"dianfanguo",400,60,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"75",27,575,"xinchai",NA,8,0.625,"diancilu",400,30,0.625,"dianfanguo",400,30,0.625,NA,NA,NA,NA
"76",27,547,"diancilu",600,60,0.625,"dianfanguo",400,60,0.625,"tianranqi",NA,NA,NA,NA,NA,NA,NA
"77",5,547,"diancilu",1250,60,0.375,"dianfanguo",850,60,0.375,"dianfanguo",1250,30,0.375,NA,NA,NA,NA
"78",5,562,"meiqi",NA,30,0.875,"dianfanguo",850,30,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"79",5,576,"tianranqi",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",5,525,"yehuaqi",NA,90,0.625,"dianfanguo",600,90,0.625,"dianshuihu",600,60,0.625,NA,NA,NA,NA
"81",5,575,"yehuaqi",NA,90,0.625,"dianfanguo",400,30,0.875,"dianshuihu",400,60,0.25,NA,NA,NA,NA
"82",5,547,"yehuaqi",NA,60,0.625,"dianfanguo",400,30,0.375,"dianshuihu",1250,30,0.625,NA,NA,NA,NA
"83",5,525,"jiegan",NA,60,0.875,"dianfanguo",400,90,0.875,"yehuaqi",NA,60,0.625,NA,NA,NA,NA
"84",5,525,"xinchai",NA,90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",5,565,"jiegan",NA,90,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",5,575,"xinchai",NA,90,0.375,"jiegan",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"87",5,525,"jiegan",NA,30,0.375,"yehuaqi",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"88",5,525,"diancilu",400,60,0.625,"dianfanguo",400,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"89",5,622,"tianranqi",NA,90,0.625,"dianfanguo",600,90,0.625,"dianshuihu",850,60,0.25,"weibolu",1250,8,0.375
"90",5,602,"yehuaqi",NA,60,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",5,602,"jiegan",NA,90,1.5,"jiegan",NA,90,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"92",5,590,"jiegan",NA,90,0.375,"dianfanguo",850,30,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"93",5,590,"jiegan",NA,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",5,575,"xinchai",NA,90,0.625,"diancilu",850,30,0.625,"dianfanguo",600,30,0.625,"dianshuihu",400,30,0.375
"95",5,590,"jiegan",NA,30,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",5,525,"jiegan",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",5,590,"xinchai",NA,60,0.625,"yehuaqi",NA,60,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"98",5,506,"jiegan",NA,90,0.375,"jiegan",NA,20,0.375,"dianfanguo",NA,60,0.375,"dianshuihu",NA,60,0.375
"99",31,506,"xinchai",NA,90,0.625,"dianfanguo",1500,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"100",31,617,"diancilu",1500,90,0.625,"dianfanguo",850,30,0.375,"dianshuihu",NA,30,0.25,NA,NA,NA,NA
"101",31,547,"jiegan",NA,90,0.25,"dianfanguo",600,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"102",31,575,"xinchai",NA,90,0.625,"dianfanguo",1250,90,0.625,NA,300,60,0.25,NA,NA,NA,NA
"103",31,547,"xinchai",NA,90,0.625,"dianfanguo",NA,30,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"104",31,574,"dianfanguo",NA,20,0.375,"jiegan",NA,90,0.625,"jiegan",NA,90,0.625,NA,NA,NA,NA
"105",31,547,"xinchai",NA,90,0.875,"dianfanguo",1250,30,0.625,"dianshuihu",600,20,0.25,NA,NA,NA,NA
