"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time","totaltime1","totaltime2","totaltime3","totaltime4"
"1",4,533,"diancilu",1250,4,1.5,"tianranqi",NA,90,0.375,"dianfanguo",850,90,0.375,"weibolu",1250,60,0.25,6,33.75,33.75,15
"2",4,548,"tianranqi",NA,30,0.375,"weibolu",600,30,0.25,"dianshuihu",300,60,0.25,"diancilu",1250,20,0.25,11.25,7.5,15,5
"3",4,576,"tianranqi",NA,90,0.625,"dianfanguo",850,30,0.625,"dianshuihu",600,90,0.25,"weibolu",600,60,0.25,56.25,18.75,22.5,15
"4",4,533,"tianranqi",NA,90,1.5,"diancilu",1500,4,1.5,"dianfanguo",1250,12,1.5,"dianfanguo",1500,4,0.625,135,6,18,2.5
"5",4,533,"meiqi",NA,60,1.5,"gaoyaguo",NA,60,0.625,"dianfanguo",NA,12,0.375,"dianshuihu",NA,12,0.25,90,37.5,4.5,3
"6",4,525,"tianranqi",NA,20,0.625,"dianfanguo",850,20,0.625,"dianshuihu",1500,60,0.25,"dianshuihu",1500,60,0.25,12.5,12.5,15,15
"7",4,575,"tianranqi",NA,30,0.625,"dianshuihu",400,60,0.25,"gaoyaguo",NA,30,0.375,"weibolu",400,30,0.375,18.75,15,11.25,11.25
"8",4,548,"tianranqi",NA,30,0.375,"dianfanguo",300,12,0.625,"gaoyaguo",400,30,0.625,"dianshuihu",400,90,0.25,11.25,7.5,18.75,22.5
"9",4,591,"tianranqi",NA,90,0.375,"gaoyaguo",850,12,0.625,"weibolu",400,60,0.375,"dianfanguo",400,60,0.375,33.75,7.5,22.5,22.5
"10",4,548,"tianranqi",NA,60,0.375,"diancilu",850,30,0.375,"dianfanguo",850,12,0.375,"weibolu",850,8,0.375,22.5,11.25,4.5,3
"11",4,562,"meiqi",NA,90,0.875,"dianfanguo",NA,90,0.625,"gaoyaguo",NA,20,1.5,"weibolu",NA,90,0.25,78.75,56.25,30,22.5
"12",4,548,"tianranqi",NA,30,0.875,"dianshuihu",1250,60,0.375,"gaoyaguo",NA,12,0.625,"weibolu",1250,8,0.375,26.25,22.5,7.5,3
"13",4,526,"tianranqi",NA,60,0.625,"dianfanguo",600,60,0.625,"dianshuihu",400,90,0.25,"weibolu",1250,12,0.25,37.5,37.5,22.5,3
"14",4,590,"tianranqi",NA,90,0.625,"dianfanguo",400,12,0.375,"gaoyaguo",NA,4,0.375,"weibolu",1250,4,0.25,56.25,4.5,1.5,1
"15",4,542,"dianfanguo",1500,30,0.375,"weibolu",400,60,0.25,"dianshuihu",400,90,0.25,"meiqi",NA,90,0.25,11.25,15,22.5,22.5
"16",4,562,"meiqi",NA,30,0.875,"dianfanguo",400,12,0.875,"kaoxiang",NA,4,0.875,"dianshuihu",400,4,0.25,26.25,10.5,3.5,1
"17",4,548,"diancilu",1250,20,3,"meiqi",NA,12,0.375,"dianfanguo",600,60,0.375,"gaoyaguo",300,30,0.375,60,4.5,22.5,11.25
"18",4,562,"tianranqi",NA,90,0.625,"dianfanguo",1500,8,0.375,"dianshuihu",1500,90,0.25,"diancilu",1500,4,0.375,56.25,3,22.5,1.5
"19",7,552,"tianranqi",NA,60,1.5,"dianfanguo",300,60,0.375,"weibolu",300,90,0.25,"dianshuihu",1250,90,6,90,22.5,22.5,540
"20",7,590,"tianranqi",NA,90,0.375,"dianshuihu",1250,60,0.375,"dianfanguo",1250,30,0.375,"weibolu",850,30,0.375,33.75,22.5,11.25,11.25
"21",17,525,"yehuaqi",NA,30,0.375,"dianfanguo",300,90,0.375,"gaoyaguo",NA,8,0.375,"dianshuihu",NA,12,0.25,11.25,33.75,3,3
"22",17,547,"tianranqi",NA,90,0.375,"diancilu",1250,20,0.375,"dianfanguo",1250,60,0.25,"weibolu",1500,20,0.25,33.75,7.5,15,5
"23",17,576,"tianranqi",NA,60,0.625,"diancilu",1500,30,0.25,"weibolu",1250,60,0.25,"kaoxiang",1500,12,0.25,37.5,7.5,15,3
"24",17,525,"tianranqi",NA,90,0.375,"dianfanguo",850,60,0.25,"diancilu",1250,30,0.375,"weibolu",NA,20,0.25,33.75,15,11.25,5
